id,cal_age,cal_sigma,rad_res,rad_res_sd,mid1,mid2,wmn,med,mode,mid1_resage,mid2_resage,wmn_resage,med_resage,mode_resage,Latitude,Longitude,group
MD04-2845,15306,248,14240,110,12812,12906,12935,12840,12901,1426,1338,1355,1411,1385,45.35,-5.22,Northeast Atlantic
MD95-2002,15369,281,14570,130,12864,12936,13318,12882,12905,1708,1648,1757,1698,1684,47.45,-8.53,Northeast Atlantic
DAPC2,15379,200,13410,130,12868,12978,13106,12886,12906,540,510,379,532,524,58.97,-9.61,Northeast Atlantic
94-609,15393,384,14990,230,12882,12849,12885,12897,12907,2098,2066,2209,2099,2099,49.88,-24.23,Northeast Atlantic
MD04-2829CQ,15400,200,14468,150,12882,12988,13123,12896,12907,1582,1566,1437,1576,1573,58.9,-9.6,Northeast Atlantic
MD04-2845,15533,316,14450,110,12520,13136,13800,12971,12915,1469,1365,1254,1466,1491,45.35,-5.22,Northeast Atlantic
RAPiD-17-5P,15555,301,14100,55,13003,13131,13752,12987,12915,1103,996,792,1107,1165,61.48,-19.54,Northeast Atlantic
NA87-22,15598,444,15660,120,13022,13092,14348,13028,12916,2636,2651,2334,2624,2671,55.5,-14.7,Northeast Atlantic
MD95-2002,15603,350,14830,70,12519,13105,13314,13027,12918,1808,1722,1841,1799,1878,47.45,-8.53,Northeast Atlantic
MD95-2002,15778,391,14810,200,13152,13167,13355,13169,13237,1650,1590,1832,1647,1644,47.45,-8.53,Northeast Atlantic
RAPiD-10-1P,15850,500,14950,49,12502,13288,14006,13225,13241,1752,1676,1424,1725,1697,62.98,-17.59,Northeast Atlantic
MD99-2331,15905,565,14130,120,13172,13262,14140,13263,13386,916,878,980,866,833,42.15,-9.68,Northeast Atlantic
DAPC2,16005,200,14400,110,13320,13313,13236,13316,13378,1086,1082,992,1084,1082,58.97,-9.61,Northeast Atlantic
RAPiD-17-5P,16039,301,15087,50,13318,13456,13935,13343,13387,1756,1662,1275,1744,1721,61.48,-19.54,Northeast Atlantic
MD99-2331,16040,601,13920,90,12498,13421,14708,13359,13389,608,522,421,561,572,42.15,-9.68,Northeast Atlantic
MD01-2461,16111,526,15118,64,13315,13536,14155,13397,13391,1004,1598,1463,1717,1741,51.75,-12.92,Northeast Atlantic
DAPC2,16148,200,14900,110,13420,13446,13793,13407,13396,1483,1478,1488,1487,1495,58.97,-9.61,Northeast Atlantic
94-609,16149,577,16360,240,13320,13537,14817,13423,13393,2943,2828,3058,2928,2912,49.88,-24.23,Northeast Atlantic
RAPiD-17-5P,16317,301,15300,65,13518,13530,13566,13537,13619,1778,1778,1748,1763,1705,61.48,-19.54,Northeast Atlantic
DAPC2,16410,200,15330,100,13596,13636,13722,13603,13621,1738,1693,1635,1731,1721,58.97,-9.61,Northeast Atlantic
MD99-2331,16437,702,13930,80,13618,13773,15093,13642,13827,272,188,-96,287,149,42.15,-9.68,Northeast Atlantic
NA87-22,16535,661,15800,140,13692,13767,15194,13704,13826,2080,2048,2282,2102,2066,55.5,-14.7,Northeast Atlantic
MD01-2461,16547,200,14530,58,13656,13704,13744,13688,13644,862,824,887,839,837,51.75,-12.92,Northeast Atlantic
DAPC2,16563,200,15390,130,13664,13709,13817,13699,13788,1701,1660,1709,1691,1684,58.97,-9.61,Northeast Atlantic
RAPiD-17-5P,16728,351,15750,60,13788,13931,14062,13802,13824,1945,1829,1696,1950,1937,61.48,-19.54,Northeast Atlantic
MD99-2331,16872,703,15130,90,13834,14108,15402,13883,13830,1274,1035,1288,1222,1322,42.15,-9.68,Northeast Atlantic
94-609,16899,796,16760,150,13830,14138,15644,13910,14457,2734,2662,2585,2810,2964,49.88,-24.23,Northeast Atlantic
MD01-2461,16970,787,15518,63,13842,14142,15643,13985,14457,340,1398,1230,1524,1695,51.75,-12.92,Northeast Atlantic
DAPC2,16996,200,15400,170,13985,14018,14227,13951,13855,1410,1390,1449,1421,1443,58.97,-9.61,Northeast Atlantic
DAPC2,17155,200,15560,140,14068,14268,14428,14128,14152,1446,1347,1069,1446,1437,58.97,-9.61,Northeast Atlantic
NA87-22,17163,832,16700,140,13905,14305,16075,14160,14457,2504,2443,2209,2532,2245,55.5,-14.7,Northeast Atlantic
MD99-2331,17264,582,15060,90,14084,14562,15025,14198,14459,-113,494,601,838,604,42.15,-9.68,Northeast Atlantic
MD95-2002,17473,230,15300,70,14362,14476,14629,14409,14454,966,840,706,910,853,47.45,-8.53,Northeast Atlantic
MD95-2002,17519,234,15280,160,14384,14536,14705,14429,14456,910,790,658,881,853,47.45,-8.53,Northeast Atlantic
MD01-2461,17520,200,15118,64,14355,14462,14498,14430,14455,763,650,749,699,667,51.75,-12.92,Northeast Atlantic
GIK23415-9,17651,1013,15810,100,14629,14866,16356,14502,14460,-526,954,1182,1283,1326,53.18,-19.15,Northeast Atlantic
MD99-2331,17704,336,15540,90,14465,14764,14882,14486,14462,382,778,714,1037,1061,42.15,-9.68,Northeast Atlantic
MD01-2461,17706,990,15174,60,14660,14919,16529,14530,14459,-1185,269,312,626,710,51.75,-12.92,Northeast Atlantic
MD04-2829CQ,17820,200,16559,150,14582,14750,14663,14544,14466,1990,1856,1683,1997,2009,58.9,-9.6,Northeast Atlantic
RAPiD-17-5P,17932,401,16207,53,14710,14878,14811,14651,14462,1485,1326,1443,1561,1734,61.48,-19.54,Northeast Atlantic
DAPC2,18038,200,16430,130,14686,14904,14921,14700,14700,1626,1538,1484,1719,1751,58.97,-9.61,Northeast Atlantic
RAPiD-17-5P,18050,401,16350,65,14178,14994,15203,14712,14697,1550,1363,1321,1629,1665,61.48,-19.54,Northeast Atlantic
MD99-2331,18177,362,16170,130,14974,15076,15155,14821,14703,1248,1100,1060,1296,1499,42.15,-9.68,Northeast Atlantic
NA87-22,18412,1073,17590,140,15238,15501,17681,15219,14459,2308,2126,1930,2355,3032,55.5,-14.7,Northeast Atlantic
MD04-2829CQ,18485,200,16603,150,15114,15258,15051,15191,15217,1438,1344,1084,1412,1409,58.9,-9.6,Northeast Atlantic
MD01-2461,18772,1143,17130,77,13850,15756,17595,15675,15986,-393,1382,1629,1466,1153,51.75,-12.92,Northeast Atlantic
94-609,18892,1357,17360,120,13793,16180,20043,15829,15982,1600,1244,895,1532,1405,49.88,-24.23,Northeast Atlantic
MD04-2829CQ,19381,200,17197,150,16095,15934,15806,16029,15994,1114,1256,1155,1142,1173,58.9,-9.6,Northeast Atlantic
MD01-2461,19427,200,15518,63,16118,15996,15629,16063,15998,-612,-500,-352,-558,-497,51.75,-12.92,Northeast Atlantic
DAPC2,19533,200,17310,130,16206,16090,16071,16192,16362,1114,1234,1190,1113,1085,58.97,-9.61,Northeast Atlantic
NA87-22,19644,1071,18110,180,14602,16746,19453,16382,16364,1896,1409,1321,1728,1618,55.5,-14.7,Northeast Atlantic
SU92-03,19889,755,16780,120,15185,16680,17699,16526,16366,304,126,6,259,291,43.2,-10.11,Northeast Atlantic
MD01-2461,20012,1062,18233,87,14466,17074,20308,16648,16365,1616,1212,364,1581,1608,51.75,-12.92,Northeast Atlantic
DAPC2,20177,200,17870,130,16681,16712,16864,16686,16687,1170,1130,1169,1179,1188,58.97,-9.61,Northeast Atlantic
GIK23415-9,20184,1061,17880,120,14706,17346,20128,16776,17131,1195,599,-126,1093,1261,53.18,-19.15,Northeast Atlantic
MD01-2461,20254,200,15174,60,16816,16824,17142,16743,16710,-1620,-1628,-1771,-1573,-1555,51.75,-12.92,Northeast Atlantic
MD04-2829CQ,20298,200,17921,150,16836,16858,17089,16778,16735,1114,1099,1124,1133,1155,58.9,-9.6,Northeast Atlantic
MD04-2845,20308,745,17290,150,16828,16924,17235,16829,17128,434,369,500,443,629,45.35,-5.22,Northeast Atlantic
94-609,20626,1649,19340,220,14154,17995,19470,17337,17561,2156,1364,1544,2018,1656,49.88,-24.23,Northeast Atlantic
MD01-2461,20709,918,18665,89,17064,17456,19130,17192,17560,-68,1230,1107,1447,1114,51.75,-12.92,Northeast Atlantic
NA87-22,20850,818,19310,270,16046,17350,17996,17354,17558,2057,1974,1993,1984,1778,55.5,-14.7,Northeast Atlantic
MD04-2829CQ,20921,200,18619,150,17340,17252,17314,17368,17531,1278,1362,1512,1264,1223,58.9,-9.6,Northeast Atlantic
MD01-2461,20939,200,17130,77,17345,17262,17302,17393,17536,-219,-125,-159,-254,-366,51.75,-12.92,Northeast Atlantic
RAPiD-17-5P,21373,701,18321,63,17524,17655,17417,17704,17808,-390,660,869,625,503,61.48,-19.54,Northeast Atlantic
MD01-2461,21536,724,19128,94,17733,17885,18877,17798,17813,1354,1271,858,1339,1307,51.75,-12.92,Northeast Atlantic
NA87-22,21757,598,20160,230,17976,17970,18093,17878,17810,2124,2176,2187,2239,2326,55.5,-14.7,Northeast Atlantic
MD01-2461,21784,200,18233,87,17964,18145,18697,17873,17823,310,154,-206,348,376,51.75,-12.92,Northeast Atlantic
94-609,21880,1639,20370,330,15966,19216,25471,18210,17813,1973,1274,1459,2118,2573,49.88,-24.23,Northeast Atlantic
GIK23415-9,21919,711,19840,160,18004,18285,19523,18010,17815,1577,1585,1511,1800,1994,53.18,-19.15,Northeast Atlantic
94-609,22126,1619,20950,260,15790,19290,23433,18503,17812,2396,1678,2462,2464,3139,49.88,-24.23,Northeast Atlantic
MD95-2002,22295,402,18850,90,18333,18534,18704,18349,18772,-378,320,331,484,102,47.45,-8.53,Northeast Atlantic
94-609,22373,1591,21510,220,15998,19622,23213,18754,18782,2802,1924,2322,2780,3686,49.88,-24.23,Northeast Atlantic
DAPC2,22424,200,19730,140,18492,18619,18758,18542,18744,1226,1134,998,1196,1066,58.97,-9.61,Northeast Atlantic
MD95-2002,22505,361,19430,100,18416,18695,19017,18678,18779,822,738,886,782,672,47.45,-8.53,Northeast Atlantic
MD99-2331,22625,376,19770,170,18700,18746,18725,18751,18781,1047,986,1236,1040,1013,42.15,-9.68,Northeast Atlantic
MD95-2002,22823,322,20148,70,18906,18956,18795,18831,18786,1241,1181,1378,1296,1363,47.45,-8.53,Northeast Atlantic
MD99-2331,22953,348,22290,170,18346,19010,18929,19034,18789,3252,3240,3338,3249,3468,42.15,-9.68,Northeast Atlantic
MD01-2461,22957,496,20193,118,18855,19204,20523,19081,18788,1190,1054,500,1126,1407,51.75,-12.92,Northeast Atlantic
DAPC2,22974,200,20280,150,19064,19038,19438,19064,18801,1222,1266,1315,1227,1410,58.97,-9.61,Northeast Atlantic
MD04-2829CQ,22987,200,20385,150,19070,19063,19541,19096,18802,1318,1360,1392,1311,1162,58.9,-9.6,Northeast Atlantic
MD99-2331,23035,344,20860,250,19080,19118,19120,19195,18790,1756,1762,1742,1726,1617,42.15,-9.68,Northeast Atlantic
MD95-2002,23039,305,20620,80,19137,19104,19297,19197,18796,1496,1523,1553,1440,1301,47.45,-8.53,Northeast Atlantic
MD01-2461,23109,200,18665,89,18850,19190,19523,19259,19309,-484,-498,-645,-583,-638,51.75,-12.92,Northeast Atlantic
94-609,23112,1464,21770,220,16822,20286,23653,19395,18784,-166,1560,1019,2387,2353,49.88,-24.23,Northeast Atlantic
MD99-2331,23119,340,20550,240,19143,19198,19467,19273,19350,1384,1403,1409,1329,1231,42.15,-9.68,Northeast Atlantic
MD99-2331,23237,331,20460,140,19185,19284,19858,19349,19365,1222,1226,1034,1122,1069,42.15,-9.68,Northeast Atlantic
DAPC2,23320,200,20450,170,18822,19362,19640,19397,19371,1066,1094,1123,1050,1041,58.97,-9.61,Northeast Atlantic
MD04-2829CQ,23400,200,20665,150,19418,19410,19623,19443,19398,1222,1242,1373,1221,1220,58.9,-9.6,Northeast Atlantic
MD99-2331,23460,303,21620,160,18812,19440,19988,19463,19412,2090,2244,2073,2149,2171,42.15,-9.68,Northeast Atlantic
MD04-2845,23468,258,20820,140,19610,19341,19325,19468,19507,1270,1440,1708,1347,1363,45.35,-5.22,Northeast Atlantic
MD95-2002,23493,290,20240,60,18809,19432,19831,19478,19424,632,826,584,759,779,47.45,-8.53,Northeast Atlantic
MD99-2331,23514,296,21740,160,18809,19478,19925,19487,19504,2147,2319,2169,2238,2278,42.15,-9.68,Northeast Atlantic
MD99-2331,23636,281,22690,180,19683,19568,19868,19543,19505,3018,3155,3081,3102,3195,42.15,-9.68,Northeast Atlantic
MD99-2331,23758,271,22150,170,19743,19693,19979,19669,20007,2401,2486,2426,2436,2626,42.15,-9.68,Northeast Atlantic
NA87-22,23795,587,20770,210,18804,19984,21167,19851,20020,994,853,653,962,1283,55.5,-14.7,Northeast Atlantic
MD04-2845,23822,257,21110,140,19762,19748,19962,19844,20011,1324,1376,1357,1301,1123,45.35,-5.22,Northeast Atlantic
94-609,23841,1304,22780,340,17566,20658,24051,20026,20023,2836,2186,2084,2791,2440,49.88,-24.23,Northeast Atlantic
DAPC2,23930,200,21410,200,19838,19760,19712,19975,20018,1542,1582,1883,1476,1419,58.97,-9.61,Northeast Atlantic
MD99-2331,24016,287,22440,170,19520,19849,19993,20025,20025,2498,2558,2793,2418,2381,42.15,-9.68,Northeast Atlantic
MD01-2461,24082,200,19128,94,19482,19936,19977,20058,20031,-921,-806,-770,-944,-916,51.75,-12.92,Northeast Atlantic
MD95-2002,24085,345,20430,80,19509,20108,20769,20065,20026,459,344,207,350,394,47.45,-8.53,Northeast Atlantic
MD99-2331,24119,295,22430,180,19507,20028,20410,20085,20033,2396,2436,2308,2318,2304,42.15,-9.68,Northeast Atlantic
MD01-2461,24175,411,20931,129,19510,20276,21319,20150,20030,896,712,406,765,616,51.75,-12.92,Northeast Atlantic
MD95-2002,24318,351,20600,80,19496,20366,21521,20302,20358,332,285,-331,311,238,47.45,-8.53,Northeast Atlantic
MD99-2331,24417,273,23080,190,20310,20422,20910,20353,20362,2756,2725,2530,2737,2715,42.15,-9.68,Northeast Atlantic
NA87-22,24837,742,21420,230,19480,21083,22210,20625,20583,670,372,97,759,861,55.5,-14.7,Northeast Atlantic
GIK23415-9,24894,755,21310,200,19478,21102,21589,20664,20583,508,198,260,609,748,53.18,-19.15,Northeast Atlantic
MD99-2331,24966,346,24140,210,20742,20853,21041,20683,20592,3394,3237,3293,3426,3479,42.15,-9.68,Northeast Atlantic
MD01-2461,24988,200,20193,118,20794,20946,20965,20696,20606,-558,-761,-756,-515,-478,51.75,-12.92,Northeast Atlantic
DAPC2,25015,200,21860,190,20811,21004,21127,20720,20611,1100,906,727,1123,1149,58.97,-9.61,Northeast Atlantic
MD01-2461,25041,419,21565,128,20058,21048,21504,20754,20591,764,553,313,794,928,51.75,-12.92,Northeast Atlantic
MD04-2829CQ,25172,200,22292,150,20874,21108,21268,20872,21096,1408,1199,1198,1408,1421,58.9,-9.6,Northeast Atlantic
MD04-2845,25466,338,22260,160,21112,21343,21734,21120,21113,1026,954,785,1130,1147,45.35,-5.22,Northeast Atlantic
DAPC2,25647,200,23660,210,21382,21613,21974,21228,21121,2323,2130,1893,2391,2442,58.97,-9.61,Northeast Atlantic
MD01-2461,25743,200,20931,129,21408,21676,22036,21365,21131,-548,-706,-904,-440,-334,51.75,-12.92,Northeast Atlantic
MD01-2461,25821,459,22234,147,21620,21779,22079,21508,21116,628,484,416,701,1063,51.75,-12.92,Northeast Atlantic
MD04-2845,26011,385,22550,170,21780,21816,21477,21884,21972,798,648,1236,728,585,45.35,-5.22,Northeast Atlantic
DAPC2,26271,200,23950,220,22124,22066,22313,22020,21981,1860,1965,1702,1890,1923,58.97,-9.61,Northeast Atlantic
NA87-22,26421,884,23780,270,22004,22793,25482,22316,22415,1454,1101,676,1523,1439,55.5,-14.7,Northeast Atlantic
MD99-2331,26512,601,25880,250,22218,22428,22432,22342,22416,3648,3446,3146,3589,3526,42.15,-9.68,Northeast Atlantic
MD99-2331,26512,601,25140,230,22218,22428,22432,22342,22416,2912,2701,2478,2847,2771,42.15,-9.68,Northeast Atlantic
RAPiD-17-5P,27310,255,23860,107,22952,23040,23181,23106,23265,895,828,813,777,608,61.48,-19.54,Northeast Atlantic
MD99-2331,27331,708,26310,260,23130,23535,25348,23209,23282,3130,2880,2578,3167,3779,42.15,-9.68,Northeast Atlantic
NA87-22,27353,752,24730,310,23165,23474,24326,23232,23283,1527,1254,1233,1551,2154,55.5,-14.7,Northeast Atlantic
NA87-22,27353,752,23620,300,23165,23474,24326,23232,23283,416,144,151,441,1058,55.5,-14.7,Northeast Atlantic
MD01-2461,27354,363,24074,168,22976,23114,22925,23186,23278,921,930,847,941,814,51.75,-12.92,Northeast Atlantic
MD04-2845,27620,384,24450,210,23358,23313,23962,23371,23287,1057,1146,1435,1012,1138,45.35,-5.22,Northeast Atlantic
MD04-2845,27907,360,25080,230,23686,23659,24370,23913,24031,1366,1466,1779,1244,1084,45.35,-5.22,Northeast Atlantic
MD04-2829CQ,27922,200,24688,150,23717,23555,23383,23917,24001,928,1106,1200,804,721,58.9,-9.6,Northeast Atlantic
NA87-22,28000,536,26350,330,22694,24024,25713,23991,24054,2590,2503,1781,2442,2310,55.5,-14.7,Northeast Atlantic
MD99-2331,28103,763,24390,210,22614,24060,25172,24057,24068,510,332,853,350,290,42.15,-9.68,Northeast Atlantic
MD95-2002,28165,343,24410,250,23892,23982,24035,24059,24065,447,491,91,365,336,47.45,-8.53,Northeast Atlantic
MD04-2845,28180,334,25030,230,23354,23979,23991,24065,24065,1053,1106,712,974,951,45.35,-5.22,Northeast Atlantic
94-609,28240,436,25660,440,23998,23879,24200,24096,24077,1596,1643,1593,1566,1547,49.88,-24.23,Northeast Atlantic
MD01-2461,28462,371,25312,195,23324,24184,23770,24205,24142,983,1086,1120,1070,1143,51.75,-12.92,Northeast Atlantic
SU92-03,28593,428,24800,120,24440,24582,25449,24311,24165,235,280,-493,459,635,43.2,-10.11,Northeast Atlantic
MD04-2845,28727,389,25630,240,24468,24470,24698,24501,24686,1056,1214,1231,1139,1223,45.35,-5.22,Northeast Atlantic
MD99-2331,28894,800,25870,250,23317,24656,25385,24710,25273,1056,1204,1469,1138,663,42.15,-9.68,Northeast Atlantic
MD04-2845,28957,399,25270,240,24716,24842,24430,24714,24701,528,444,91,532,595,45.35,-5.22,Northeast Atlantic
MD04-2829CQ,28982,200,26045,150,24816,24793,24429,24721,24703,1253,1207,1152,1310,1339,58.9,-9.6,Northeast Atlantic
PS2644-5,29050,462,25700,300,24724,25032,25364,24794,25266,891,736,462,850,776,67.867,-21.765,Northeast Atlantic
94-609,29288,539,26570,310,24883,25288,26011,25201,25274,1502,1322,1199,1479,1374,49.88,-24.23,Northeast Atlantic
MD99-2331,29324,818,26050,280,23300,25124,27227,25235,25276,870,1035,671,890,799,42.15,-9.68,Northeast Atlantic
MD95-2002,29341,399,25820,230,24933,25262,26031,25219,25272,770,606,666,675,578,47.45,-8.53,Northeast Atlantic
MD01-2461,29363,499,25863,208,24946,25302,24988,25232,25276,716,550,373,692,597,51.75,-12.92,Northeast Atlantic
MD01-2461,29696,479,25928,209,24790,25550,26328,25339,25286,420,378,667,531,617,51.75,-12.92,Northeast Atlantic
MD99-2331,29769,820,26370,260,25386,25624,28099,25418,25284,-994,834,492,831,1062,42.15,-9.68,Northeast Atlantic
PS2644-5,29888,503,27550,910,24782,25619,26117,25503,25291,1894,1687,1525,1903,1917,67.867,-21.765,Northeast Atlantic
MD99-2334,251,200,723,150,258,840,1402,217,120,430,111,-299,472,505,38,-10,Iberian Margin
MD99-2334,3707,81,3950,60,3314,3422,3471,3458,3488,499,538,577,496,493,38,-10,Iberian Margin
MD99-2334,8421,28,8139,37,7642,7605,7581,7659,7689,494,536,553,483,468,38,-10,Iberian Margin
SHAK10-10K,11590,200,10811,150,10111,10060,10048,10048,10034,754,808,521,754,755,37.8,-9.5,Iberian Margin
SHAK14-4G,11590,200,10720,150,10111,10060,10048,10048,10034,662,717,430,663,664,38,-9.7,Iberian Margin
SHAK03-6K,11590,200,10777,150,10111,10060,10048,10048,10034,720,774,487,720,721,37.7,-10.5,Iberian Margin
MD99-2334,11690,200,10248,150,10146,10128,9950,10084,10042,136,152,-115,144,153,38,-10,Iberian Margin
MD99-2334,12840,200,11110,150,10376,11088,11272,10954,11047,243,46,-193,185,121,38,-10,Iberian Margin
SHAK10-10K,12868,200,11554,150,10374,11112,11260,10980,11047,654,475,245,599,555,37.8,-9.5,Iberian Margin
SHAK14-4G,12868,200,11514,150,10374,11112,11260,10980,11047,614,435,205,559,515,38,-9.7,Iberian Margin
SHAK03-6K,12868,200,11547,150,10374,11112,11260,10980,11047,647,468,238,592,548,37.7,-10.5,Iberian Margin
SHAK05-3K,12868,200,11344,150,10374,11112,11260,10980,11047,444,265,35,389,345,37.6,-9.7,Iberian Margin
MD99-2334,14034,200,12505,150,11846,11886,12056,12111,12029,374,614,839,368,369,38,-10,Iberian Margin
SHAK14-4G,14034,200,12567,150,11846,11886,12056,12111,12029,436,676,901,430,431,38,-9.7,Iberian Margin
SHAK03-6K,14034,200,12744,150,11846,11886,12056,12111,12029,612,854,1078,607,608,37.7,-10.5,Iberian Margin
SHAK05-3K,14034,200,12382,150,11846,11886,12056,12111,12029,250,492,716,245,246,37.6,-9.7,Iberian Margin
MD99-2334,14649,200,12995,150,12449,12420,12575,12441,12453,550,566,642,550,553,38,-10,Iberian Margin
SHAK14-4G,14649,200,13264,150,12449,12420,12575,12441,12453,818,834,911,819,822,38,-9.7,Iberian Margin
SHAK03-6K,14649,200,13238,150,12449,12420,12575,12441,12453,792,808,885,793,796,37.7,-10.5,Iberian Margin
SHAK05-3K,14649,200,12988,150,12449,12420,12575,12441,12453,542,558,635,543,546,37.6,-9.7,Iberian Margin
MD99-2334,15947,200,14419,150,13266,13270,13360,13275,13254,1147,1166,1159,1142,1139,38,-10,Iberian Margin
SHAK10-10K,15947,200,14330,150,13266,13270,13360,13275,13254,1058,1076,1070,1053,1050,37.8,-9.5,Iberian Margin
SHAK14-4G,15947,200,14200,150,13266,13270,13360,13275,13254,928,946,940,923,920,38,-9.7,Iberian Margin
SHAK03-6K,15947,200,14172,150,13266,13270,13360,13275,13254,900,918,912,895,892,37.7,-10.5,Iberian Margin
SHAK05-3K,15947,200,14000,150,13266,13270,13360,13275,13254,728,746,740,723,720,37.6,-9.7,Iberian Margin
MD99-2334,17420,200,15093,150,14298,14400,14384,14367,14451,780,672,597,759,723,38,-10,Iberian Margin
SHAK10-10K,17420,200,15067,150,14298,14400,14384,14367,14451,754,646,571,733,697,37.8,-9.5,Iberian Margin
SHAK14-4G,17420,200,15134,150,14298,14400,14384,14367,14451,822,712,638,800,764,38,-9.7,Iberian Margin
SHAK03-6K,17420,200,14584,150,14298,14400,14384,14367,14451,272,162,88,250,214,37.7,-10.5,Iberian Margin
MD99-2334,20262,200,17765,150,16820,16832,17167,16750,16715,989,968,992,1007,1025,38,-10,Iberian Margin
SHAK10-10K,20262,200,17810,150,16820,16832,17167,16750,16715,1034,1012,1037,1052,1070,37.8,-9.5,Iberian Margin
SHAK14-4G,20262,200,17514,150,16820,16832,17167,16750,16715,738,716,741,756,774,38,-9.7,Iberian Margin
SHAK03-6K,20262,200,17404,150,16820,16832,17167,16750,16715,628,606,631,646,664,37.7,-10.5,Iberian Margin
SHAK05-3K,20262,200,17787,150,16820,16832,17167,16750,16715,1011,990,1014,1029,1047,37.6,-9.7,Iberian Margin
MD99-2334,21783,200,19170,150,17964,18144,18669,17872,17822,1261,1123,1151,1279,1297,38,-10,Iberian Margin
SHAK14-4G,21783,200,18817,150,17964,18144,18669,17872,17822,908,770,798,926,944,38,-9.7,Iberian Margin
SHAK03-6K,21783,200,18782,150,17964,18144,18669,17872,17822,873,735,763,891,909,37.7,-10.5,Iberian Margin
SHAK05-3K,21783,200,18864,150,17964,18144,18669,17872,17822,955,817,845,973,991,37.6,-9.7,Iberian Margin
MD99-2334,23410,200,20725,150,19430,19416,19617,19448,19406,1276,1292,1424,1276,1276,38,-10,Iberian Margin
SHAK03-6K,23410,200,20196,150,19430,19416,19617,19448,19406,747,764,895,747,747,37.7,-10.5,Iberian Margin
MD99-2334,24298,200,21100,150,20244,20216,20394,20285,20344,856,959,739,839,809,38,-10,Iberian Margin
SHAK03-6K,24298,200,20742,150,20244,20216,20394,20285,20344,498,601,381,481,451,37.7,-10.5,Iberian Margin
MD99-2334,25725,200,22293,150,21404,21664,22026,21341,21131,839,677,502,943,1035,38,-10,Iberian Margin
