id,cal_age,cal_sigma,rad_res,rad_res_sd,mid1,mid2,wmn,med,mode,mid1_resage,mid2_resage,wmn_resage,med_resage,mode_resage
DrakePCoral,66,11,870,70,80.0,134.0,134.0,115.0,120.0,552.0,756.0,763.0,754.0,755.0
DrakePCoral,468,21,1380,60,334.0,476.0,548.0,372.0,368.0,759.0,948.0,874.0,1003.0,1006.0
MD07-3076,1042,46,1985,30,1016.0,1162.0,1173.0,1132.0,1118.0,668.0,840.0,739.0,845.0,859.0
MD07-3076,1042,46,2475,30,1016.0,1162.0,1173.0,1132.0,1118.0,1158.0,1330.0,1229.0,1335.0,1349.0
MD07-3076,1458,93,2362,35,1316.0,1528.0,1562.0,1586.0,1591.0,544.0,836.0,862.0,776.0,775.0
MD97-2121,1718,10,2331,40,1740.0,1804.0,1832.0,1823.0,1832.0,378.0,528.0,535.0,508.0,508.0
MD07-3088,1759,171,2510,30,1458.0,1792.0,2087.0,1870.0,1878.0,300.0,726.0,622.0,644.0,625.0
MD07-3076,1991,116,2945,37,1773.0,1957.0,1697.0,2047.0,2104.0,648.0,964.0,1119.0,896.0,855.0
MD07-3076,2986,162,3725,37,2537.0,2869.0,2924.0,2876.0,2899.0,547.0,862.0,806.0,853.0,823.0
MD07-3088,4098,182,4475,30,3373.0,3707.0,3615.0,3740.0,3697.0,388.0,762.0,817.0,731.0,767.0
MD07-3076,4329,162,4905,35,3584.0,3830.0,3699.0,3886.0,3887.0,694.0,1054.0,1242.0,1016.0,1028.0
DrakePCoral,4643,169,4850,75,3852.0,4166.0,4103.0,4128.0,4133.0,284.0,685.0,603.0,726.0,724.0
MD07-3076,5370,139,5687,37,4456.0,4732.0,4770.0,4668.0,4690.0,688.0,966.0,886.0,1024.0,1001.0
DrakePCoral,5883,53,5990,90,4972.0,5086.0,5056.0,5078.0,5055.0,560.0,834.0,807.0,887.0,903.0
MD07-3076,6319,93,6506,37,5324.0,5525.0,5538.0,5557.0,5582.0,742.0,987.0,939.0,960.0,923.0
DrakePCoral,6470,48,6430,95,5522.0,5652.0,5678.0,5691.0,5681.0,446.0,780.0,866.0,736.0,735.0
MD07-3076,6806,185,6732,36,5555.0,6041.0,6289.0,5985.0,6008.0,253.0,698.0,654.0,749.0,724.0
MD97-2121,7027,170,6884,30,5788.0,6290.0,6500.0,6154.0,6180.0,200.0,605.0,399.0,733.0,713.0
RR0503-83GC,8009,69,7540,25,7004.0,7204.0,7227.0,7205.0,7302.0,136.0,340.0,300.0,328.0,239.0
RR0503-83GC,8009,69,7750,30,7004.0,7204.0,7227.0,7205.0,7302.0,340.0,552.0,496.0,536.0,450.0
RR0503-83GC,8009,69,8200,30,7004.0,7204.0,7227.0,7205.0,7302.0,790.0,1002.0,946.0,986.0,900.0
RR0503-83GC,8009,69,8350,25,7004.0,7204.0,7227.0,7205.0,7302.0,946.0,1150.0,1110.0,1138.0,1049.0
MD07-3076,8079,162,8390,40,6782.0,7164.0,7304.0,7293.0,7301.0,728.0,1231.0,1163.0,1100.0,1088.0
MD07-3076,9074,116,9520,40,7886.0,8182.0,8139.0,8167.0,8175.0,1064.0,1327.0,1452.0,1357.0,1330.0
MD07-3076,9074,116,9510,50,7886.0,8182.0,8139.0,8167.0,8175.0,1036.0,1312.0,1442.0,1349.0,1319.0
MD07-3076,9074,116,9070,50,7886.0,8182.0,8139.0,8167.0,8175.0,596.0,872.0,1002.0,909.0,879.0
MD07-3076,9769,116,9560,40,8472.0,8714.0,8738.0,8780.0,8788.0,504.0,851.0,816.0,781.0,776.0
MD97-2121,9906,246,8812,36,8403.0,8850.0,9043.0,8841.0,8887.0,-510.0,-30.0,-106.0,-29.0,-60.0
MD07-3076,10347,69,9790,50,8996.0,9182.0,9356.0,9206.0,9207.0,374.0,646.0,572.0,583.0,581.0
MD07-3076,10347,69,10060,50,8996.0,9182.0,9356.0,9206.0,9207.0,644.0,916.0,842.0,853.0,851.0
MD07-3076,10694,69,10300,45,9327.0,9435.0,9442.0,9453.0,9431.0,652.0,864.0,860.0,840.0,854.0
MD07-3076,11134,69,10470,50,9612.0,9769.0,9668.0,9657.0,9656.0,527.0,710.0,671.0,806.0,819.0
MD07-3076,11134,69,10570,60,9612.0,9769.0,9668.0,9657.0,9656.0,605.0,815.0,751.0,905.0,919.0
MD07-3076,11134,69,10670,50,9612.0,9769.0,9668.0,9657.0,9656.0,727.0,910.0,871.0,1006.0,1019.0
MD97-2121,11195,51,10552,38,9658.0,9784.0,9787.0,9745.0,9665.0,598.0,776.0,746.0,805.0,867.0
MD07-3088,11252,347,10880,35,9144.0,9841.0,9908.0,9894.0,10029.0,340.0,1042.0,900.0,995.0,856.0
MD07-3076,11389,93,10600,50,9730.0,9872.0,9867.0,9987.0,10020.0,442.0,746.0,709.0,614.0,605.0
MD07-3076,11389,93,10730,50,9730.0,9872.0,9867.0,9987.0,10020.0,572.0,876.0,839.0,744.0,735.0
MD07-3076,11644,116,10790,50,9808.0,9971.0,9907.0,10063.0,10050.0,468.0,806.0,843.0,721.0,730.0
MD07-3076,11644,116,10820,50,9808.0,9971.0,9907.0,10063.0,10050.0,498.0,836.0,873.0,751.0,760.0
DrakePCoral,11777,135,10700,140,9871.0,10042.0,9996.0,10132.0,10095.0,106.0,596.0,784.0,556.0,561.0
TNO57-21,12201,200,10900,45,9984.0,10544.0,10680.0,10364.0,10365.0,-61.0,362.0,365.0,536.0,534.0
MD07-3076,12222,139,11400,50,10157.0,10516.0,10498.0,10370.0,10371.0,616.0,887.0,852.0,1028.0,1029.0
MD07-3076,12894,69,11835,50,10721.0,10948.0,11102.0,10997.0,11039.0,570.0,906.0,909.0,839.0,830.0
TNO57-21,12980,200,12200,75,10741.0,11202.0,11261.0,11047.0,11049.0,612.0,995.0,900.0,1146.0,1170.0
MD07-3076,13241,93,12760,60,11048.0,11304.0,11400.0,11365.0,11369.0,1081.0,1444.0,1576.0,1393.0,1393.0
DrakePCoral,13397,76,12750,180,11320.0,11536.0,11712.0,11525.0,11521.0,646.0,1218.0,1286.0,1220.0,1223.0
TNO57-21,13580,200,12700,55,11154.0,11462.0,11772.0,11749.0,11827.0,618.0,1242.0,1388.0,953.0,887.0
DrakePCoral,13707,68,13150,180,11657.0,11820.0,11739.0,11834.0,11831.0,748.0,1293.0,1324.0,1304.0,1308.0
MD07-3088,13812,233,12885,40,11284.0,11575.0,11818.0,11981.0,12027.0,634.0,1318.0,1298.0,919.0,855.0
RR0503-64JPC,13998,110,12720,45,11836.0,12034.0,12105.0,12065.0,12030.0,362.0,690.0,727.0,643.0,681.0
RR0503-79JPC,13998,110,12810,35,11836.0,12034.0,12105.0,12065.0,12030.0,466.0,780.0,747.0,736.0,773.0
MD07-3076,14097,93,13360,60,11938.0,12122.0,12158.0,12220.0,12258.0,934.0,1225.0,1318.0,1153.0,1108.0
TNO57-21,14180,200,12950,55,11700.0,12009.0,12378.0,12283.0,12307.0,392.0,966.0,881.0,671.0,631.0
MD97-2121,14324,254,12839,45,11662.0,12097.0,12546.0,12363.0,12400.0,120.0,757.0,703.0,483.0,440.0
MD07-3076,14491,69,13300,60,12248.0,12386.0,12374.0,12419.0,12414.0,672.0,910.0,960.0,877.0,879.0
MD07-3088,14491,464,13755,35,11407.0,12182.0,12854.0,12406.0,12405.0,624.0,1584.0,1398.0,1348.0,1334.0
MD07-3076,14653,69,13430,60,12287.0,12430.0,12437.0,12456.0,12470.0,775.0,1007.0,1009.0,977.0,972.0
TNO57-21,14770,200,13150,70,12126.0,12504.0,12515.0,12468.0,12473.0,199.0,635.0,726.0,677.0,691.0
MD07-3076,14792,69,13520,110,12296.0,12482.0,12516.0,12437.0,12479.0,728.0,1072.0,1027.0,1083.0,1084.0
MD07-3076,15139,162,13440,60,12499.0,12801.0,12864.0,12697.0,12731.0,376.0,664.0,543.0,741.0,749.0
MD07-3076,15139,162,13380,60,12499.0,12801.0,12864.0,12697.0,12731.0,316.0,604.0,483.0,681.0,689.0
MD07-3076,15139,162,13380,70,12499.0,12801.0,12864.0,12697.0,12731.0,300.0,612.0,445.0,681.0,689.0
MD07-3076,15139,162,13450,60,12499.0,12801.0,12864.0,12697.0,12731.0,386.0,674.0,553.0,751.0,759.0
MD07-3076,15139,162,13260,60,12499.0,12801.0,12864.0,12697.0,12731.0,196.0,484.0,363.0,561.0,569.0
TNO57-21,15892,200,14750,65,12830.0,13228.0,13422.0,13240.0,13244.0,1084.0,1541.0,1424.0,1509.0,1501.0
DrakePCoral,16402,310,14200,180,13036.0,13705.0,14310.0,13600.0,13624.0,-184.0,610.0,501.0,607.0,596.0
TNO57-21,16453,200,14850,60,13238.0,13652.0,13622.0,13628.0,13626.0,765.0,1188.0,1262.0,1220.0,1215.0
MD07-3076,16574,324,15360,70,13155.0,13812.0,13783.0,13711.0,13814.0,904.0,1546.0,1578.0,1649.0,1590.0
MD07-3076,16574,324,15360,60,13155.0,13812.0,13783.0,13711.0,13814.0,919.0,1546.0,1555.0,1649.0,1576.0
MD07-3076,16574,324,15560,80,13155.0,13812.0,13783.0,13711.0,13814.0,1088.0,1745.0,1758.0,1850.0,1803.0
TNO57-21,17014,200,15650,80,13654.0,14057.0,14338.0,13973.0,13855.0,1190.0,1630.0,1505.0,1663.0,1764.0
MD07-3076,17106,324,15650,180,13540.0,14257.0,14176.0,14100.0,14152.0,620.0,1412.0,1222.0,1573.0,1593.0
MD07-3076,17569,347,16510,210,13774.0,14663.0,14872.0,14446.0,14460.0,1010.0,1890.0,1712.0,2086.0,2065.0
TNO57-21,17575,200,16050,65,14042.0,14505.0,14522.0,14447.0,14459.0,1126.0,1550.0,1545.0,1607.0,1593.0
MD07-3076,17801,347,16698,50,14080.0,14792.0,14770.0,14535.0,14461.0,1272.0,1902.0,2026.0,2150.0,2229.0
MD97-2121,17845,380,15986,56,14036.0,14820.0,14705.0,14579.0,14461.0,464.0,1161.0,1205.0,1404.0,1514.0
RR0503-83GC,17906,147,15835,40,14296.0,14700.0,14625.0,14624.0,14670.0,800.0,1134.0,1135.0,1213.0,1171.0
RR0503-83GC,17906,147,15965,40,14296.0,14700.0,14625.0,14624.0,14670.0,930.0,1264.0,1265.0,1343.0,1301.0
RR0503-83GC,17906,147,15580,45,14296.0,14700.0,14625.0,14624.0,14670.0,538.0,879.0,860.0,959.0,919.0
RR0503-83GC,17906,147,15515,40,14296.0,14700.0,14625.0,14624.0,14670.0,480.0,814.0,815.0,893.0,851.0
RR0503-64JPC,17906,147,15020,60,14296.0,14700.0,14625.0,14624.0,14670.0,-43.0,319.0,344.0,402.0,368.0
RR0503-64JPC,17906,147,15245,40,14296.0,14700.0,14625.0,14624.0,14670.0,210.0,544.0,545.0,623.0,581.0
MD07-3076,18009,324,17030,200,14250.0,14966.0,15211.0,14689.0,14695.0,1239.0,2077.0,1977.0,2316.0,2400.0
MD07-3076,18380,278,17400,120,14612.0,15204.0,15305.0,15146.0,15221.0,1570.0,2212.0,2213.0,2275.0,2213.0
TNO57-21,18697,200,16900,80,14992.0,15420.0,15411.0,15358.0,15210.0,954.0,1480.0,1476.0,1544.0,1692.0
MD07-3076,19028,231,18220,100,15151.0,15628.0,15553.0,15782.0,15780.0,1952.0,2590.0,2608.0,2438.0,2396.0
TNO57-21,19259,200,17400,70,15424.0,15810.0,16017.0,15969.0,15983.0,962.0,1600.0,1585.0,1435.0,1422.0
MD07-3076,19398,255,18070,130,15420.0,15983.0,15995.0,16042.0,15992.0,1300.0,2112.0,2011.0,1999.0,2053.0
TNO57-21,19820,200,18000,85,15840.0,16326.0,16096.0,16410.0,16367.0,1024.0,1652.0,1818.0,1574.0,1601.0
MD07-3076,20509,440,19060,130,16004.0,16938.0,16642.0,17018.0,17128.0,990.0,2118.0,1981.0,2062.0,1967.0
TNO57-21,22064,200,19300,90,17796.0,18327.0,18291.0,18115.0,18193.0,518.0,956.0,1079.0,1186.0,1175.0
MD07-3076,22870,532,20580,130,17944.0,19220.0,20640.0,18886.0,18786.0,322.0,1422.0,1021.0,1629.0,1800.0
MD07-3076,24722,463,21730,100,19488.0,20686.0,21103.0,20550.0,20580.0,-116.0,1053.0,1045.0,1184.0,1187.0
MD97-2121,25358,162,22322,85,20647.0,21285.0,21484.0,21075.0,21106.0,620.0,1057.0,962.0,1259.0,1228.0
RR0503-79JPC,25650,40,22140,60,21061.0,21350.0,21612.0,21221.0,21220.0,600.0,844.0,639.0,916.0,920.0
BP_S794,25650,40,22020,80,21061.0,21350.0,21612.0,21221.0,21220.0,458.0,747.0,591.0,796.0,799.0
HT_S938,25650,40,21640,80,21061.0,21350.0,21612.0,21221.0,21220.0,78.0,367.0,211.0,416.0,419.0
S931,25650,40,22200,80,21061.0,21350.0,21612.0,21221.0,21220.0,638.0,927.0,771.0,976.0,979.0
RR0503-36JPC,25650,40,21770,70,21061.0,21350.0,21612.0,21221.0,21220.0,220.0,486.0,306.0,546.0,549.0
MD07-3076,26227,486,22440,160,20890.0,22137.0,23007.0,22013.0,21981.0,-821.0,368.0,153.0,399.0,428.0
MD07-3076,27384,486,23390,110,22125.0,23262.0,23605.0,23224.0,23278.0,-1039.0,139.0,98.0,189.0,112.0
MD07-3076,28472,394,24520,200,23284.0,24195.0,24360.0,24213.0,24140.0,-980.0,294.0,441.0,266.0,349.0
MD07-3076,29931,347,25970,130,24918.0,26002.0,25750.0,25554.0,25307.0,-948.0,-45.0,-186.0,388.0,629.0
MD07-3076,30810,486,26550,250,25682.0,26568.0,26788.0,26476.0,26319.0,-1389.0,10.0,53.0,2.0,183.0
MD07-3076,32106,625,28540,89,26350.0,27881.0,28792.0,28248.0,28402.0,-952.0,680.0,446.0,303.0,149.0
MD07-3076,32639,625,28827,91,26800.0,28509.0,29959.0,28453.0,28426.0,-1344.0,354.0,-331.0,367.0,400.0
MD04-2829CQ,1300,200,1790,150,900.0,1292.0,1865.0,1414.0,1591.0,-248.0,522.0,546.0,390.0,436.0
DAPC2,3672,200,3740,55,3034.0,3396.0,3588.0,3426.0,3381.0,-84.0,380.0,153.0,311.0,301.0
94-609,5516,151,5420,80,4544.0,4886.0,5098.0,4763.0,4764.0,182.0,580.0,488.0,645.0,688.0
DAPC2,9238,200,8590,90,7933.0,8272.0,8477.0,8251.0,8232.0,-206.0,328.0,351.0,331.0,337.0
RAPiD-15-4P,10297,100,9739,38,8966.0,9187.0,9224.0,9184.0,9200.0,384.0,564.0,490.0,561.0,537.0
RAPiD-17-5P,10297,100,9728,39,8966.0,9187.0,9224.0,9184.0,9200.0,372.0,554.0,484.0,550.0,526.0
RAPID-12-1K,10447,101,9752,35,9051.0,9231.0,9242.0,9251.0,9226.0,246.0,520.0,482.0,495.0,516.0
RAPiD-10-1P,10510,250,9587,38,8820.0,9210.0,9186.0,9306.0,9217.0,-96.0,374.0,379.0,277.0,359.0
RAPiD-15-4P,10714,150,10198,40,9158.0,9429.0,9417.0,9476.0,9586.0,428.0,762.0,752.0,717.0,630.0
RAPiD-17-5P,10727,150,9862,39,9160.0,9431.0,9378.0,9490.0,9586.0,87.0,422.0,439.0,370.0,291.0
MD04-2829CQ,10900,200,9794,150,9249.0,9544.0,9480.0,9577.0,9589.0,-352.0,278.0,333.0,222.0,223.0
RAPID-12-1K,11235,200,10356,35,9409.0,9640.0,9604.0,9840.0,10022.0,280.0,706.0,824.0,513.0,372.0
RAPiD-15-4P,11410,150,10358,42,9652.0,9862.0,9714.0,9998.0,10024.0,200.0,484.0,540.0,366.0,344.0
RAPiD-17-5P,11501,150,10516,39,9706.0,9906.0,9882.0,10025.0,10031.0,264.0,593.0,693.0,491.0,486.0
RAPiD-10-1P,11550,200,10568,40,9663.0,10004.0,10091.0,10037.0,10034.0,182.0,575.0,430.0,528.0,530.0
MD04-2829CQ,11620,200,10965,150,9702.0,10066.0,10058.0,10057.0,10035.0,337.0,932.0,622.0,894.0,898.0
RAPID-12-1K,11630,200,10577,36,9708.0,10070.0,10054.0,10060.0,10035.0,77.0,503.0,511.0,511.0,530.0
RAPiD-15-4P,11653,150,10796,39,9815.0,10021.0,10026.0,10068.0,10041.0,449.0,788.0,686.0,722.0,740.0
RAPiD-17-5P,11683,101,10783,39,9870.0,10022.0,9980.0,10079.0,10073.0,480.0,752.0,827.0,700.0,709.0
MD95-2007,11775,68,10664,65,10037.0,10158.0,10127.0,10130.0,10125.0,292.0,513.0,499.0,529.0,533.0
DAPC2,11833,200,10830,90,9836.0,10226.0,10053.0,10182.0,10211.0,129.0,599.0,468.0,648.0,669.0
RAPiD-15-4P,11934,101,10965,40,10098.0,10242.0,10239.0,10245.0,10210.0,540.0,733.0,666.0,714.0,722.0
RAPiD-10-1P,12120,52,11566,40,10231.0,10309.0,10290.0,10353.0,10356.0,1068.0,1238.0,1294.0,1211.0,1212.0
RAPiD-15-4P,12208,151,11808,41,10140.0,10568.0,10637.0,10367.0,10367.0,992.0,1250.0,1086.0,1439.0,1439.0
RAPiD-17-5P,12317,300,11897,42,10080.0,10778.0,10794.0,10383.0,10369.0,610.0,1121.0,1084.0,1504.0,1527.0
MD95-2002,12318,223,11190,100,10044.0,10705.0,10962.0,10382.0,10370.0,-16.0,506.0,442.0,790.0,807.0
NA87-22,12327,586,11320,90,9674.0,10610.0,11421.0,10391.0,10367.0,-420.0,740.0,621.0,900.0,952.0
RAPiD-10-1P,12340,101,12256,40,10259.0,10570.0,10516.0,10382.0,10373.0,1492.0,1688.0,1655.0,1868.0,1875.0
MD03-2697,12377,531,11920,60,9758.0,10624.0,11048.0,10404.0,10370.0,296.0,1307.0,1309.0,1491.0,1551.0
RAPiD-15-4P,12382,200,11650,50,10168.0,10750.0,10834.0,10395.0,10372.0,526.0,896.0,983.0,1239.0,1271.0
MD01-2461,12396,117,11032,39,10276.0,10634.0,10783.0,10391.0,10371.0,210.0,416.0,245.0,631.0,652.0
MD95-2007,12430,106,11353,62,10304.0,10600.0,10505.0,10399.0,10374.0,518.0,726.0,737.0,935.0,962.0
RAPiD-10-1P,12470,101,12379,42,10352.0,10642.0,10675.0,10435.0,10372.0,1572.0,1730.0,1751.0,1938.0,1995.0
MD95-2007,12482,104,11299,66,10356.0,10703.0,10808.0,10456.0,10372.0,430.0,644.0,466.0,844.0,874.0
MD95-2007,12552,104,11500,90,10432.0,10774.0,10874.0,10510.0,10482.0,522.0,816.0,572.0,987.0,990.0
RAPiD-15-4P,12556,200,11750,50,10428.0,10924.0,11003.0,10518.0,10375.0,538.0,832.0,707.0,1229.0,1355.0
MD01-2461,12590,200,11032,39,10454.0,10942.0,10997.0,10548.0,10375.0,-175.0,98.0,31.0,482.0,647.0
MD95-2007,12596,98,11296,77,10534.0,10816.0,11005.0,10545.0,10480.0,308.0,580.0,341.0,747.0,759.0
RAPiD-10-1P,12600,101,12583,41,10546.0,10830.0,11064.0,10550.0,10483.0,1624.0,1796.0,1580.0,2032.0,2049.0
RAPiD-15-4P,12730,151,11900,45,10574.0,11030.0,11189.0,10760.0,10909.0,662.0,886.0,703.0,1138.0,963.0
94-609,12736,465,12380,120,10228.0,10938.0,11746.0,10877.0,10372.0,563.0,1472.0,1473.0,1563.0,1957.0
RAPiD-10-1P,12750,200,12512,39,10516.0,11050.0,11125.0,10854.0,11045.0,1184.0,1464.0,1478.0,1669.0,1497.0
DAPC2,12761,200,11380,110,10540.0,11052.0,11094.0,10883.0,11045.0,-74.0,338.0,257.0,550.0,405.0
RAPiD-15-4P,12799,101,12000,50,10636.0,10932.0,11083.0,10912.0,10912.0,835.0,1104.0,982.0,1091.0,1057.0
RAPiD-15-4P,12833,101,11811,42,10644.0,10943.0,11152.0,10941.0,10912.0,626.0,892.0,768.0,867.0,849.0
MD95-2007,12973,71,11471,62,10764.0,11021.0,11158.0,11044.0,11051.0,98.0,461.0,469.0,427.0,429.0
RAPiD-15-4P,13090,201,11816,39,10839.0,11320.0,11872.0,11164.0,11051.0,110.0,519.0,273.0,654.0,768.0
RAPiD-10-1P,13110,201,12650,50,10850.0,11335.0,11929.0,11216.0,11051.0,906.0,1342.0,1041.0,1446.0,1602.0
MD01-2461,13142,336,12551,46,10708.0,11208.0,11582.0,11266.0,11053.0,816.0,1354.0,1264.0,1279.0,1508.0
MD04-2829CQ,13200,200,11574,150,10963.0,11397.0,11987.0,11338.0,11051.0,-398.0,296.0,186.0,257.0,219.0
MD01-2461,13304,200,12551,46,11024.0,11416.0,11984.0,11431.0,11517.0,695.0,1172.0,922.0,1113.0,1036.0
NA87-22,13423,349,11690,120,10975.0,11484.0,11959.0,11557.0,11830.0,-488.0,242.0,92.0,113.0,156.0
RAPiD-10-1P,13430,250,12800,60,11085.0,11417.0,11703.0,11557.0,11520.0,850.0,1389.0,1371.0,1229.0,1273.0
MD95-2007,13536,140,12353,74,11240.0,11582.0,11921.0,11695.0,11827.0,278.0,784.0,907.0,660.0,596.0
RAPiD-17-5P,13550,300,12754,43,11090.0,11534.0,12009.0,11721.0,11829.0,654.0,1236.0,1019.0,1031.0,932.0
RAPiD-15-4P,13566,201,12100,45,11150.0,11459.0,11751.0,11732.0,11827.0,46.0,650.0,711.0,366.0,282.0
RAPiD-15-4P,13614,101,11793,49,11434.0,11679.0,11740.0,11789.0,11828.0,-252.0,116.0,137.0,13.0,-21.0
MD95-2007,13740,138,12630,100,11508.0,11793.0,12058.0,11857.0,11829.0,331.0,859.0,908.0,747.0,770.0
RAPiD-10-1P,13750,251,12900,60,11265.0,11589.0,12207.0,11871.0,12027.0,648.0,1348.0,1168.0,1007.0,874.0
NA87-22,13777,328,12920,120,11223.0,11676.0,12176.0,11922.0,12024.0,454.0,1286.0,1047.0,996.0,963.0
RAPiD-15-4P,13783,101,12155,40,11645.0,11908.0,12097.0,11909.0,12021.0,-52.0,263.0,191.0,234.0,316.0
94-609,13797,324,12750,220,11248.0,11696.0,12249.0,11969.0,12027.0,82.0,1150.0,1071.0,812.0,792.0
RAPiD-15-4P,13940,101,12560,39,11808.0,12022.0,12131.0,12038.0,12030.0,247.0,546.0,530.0,518.0,526.0
RAPiD-15-4P,13970,53,12636,43,11908.0,12086.0,12295.0,12036.0,12030.0,372.0,576.0,592.0,595.0,603.0
MD95-2007,14126,121,12790,120,11896.0,12060.0,12066.0,12247.0,12294.0,201.0,659.0,822.0,565.0,540.0
NA87-22,14134,261,12380,120,11428.0,11818.0,12315.0,12256.0,12401.0,-311.0,558.0,769.0,153.0,69.0
RAPiD-10-1P,14230,201,12700,55,11711.0,12024.0,12292.0,12309.0,12398.0,110.0,690.0,714.0,390.0,354.0
RAPiD-15-4P,14263,101,12487,43,12052.0,12202.0,12296.0,12324.0,12310.0,-20.0,290.0,319.0,157.0,161.0
RAPiD-17-5P,14286,251,12850,55,11656.0,12074.0,12501.0,12340.0,12400.0,152.0,797.0,705.0,512.0,465.0
MD03-2697,14423,441,12520,60,11381.0,12118.0,12878.0,12391.0,12404.0,-544.0,422.0,240.0,136.0,104.0
94-609,14428,161,13650,90,11994.0,12282.0,12406.0,12400.0,12404.0,898.0,1376.0,1370.0,1254.0,1249.0
94-609,14428,161,12740,140,11994.0,12282.0,12406.0,12400.0,12404.0,-90.0,466.0,515.0,346.0,343.0
MD04-2829CQ,14540,200,12686,150,11958.0,12336.0,12563.0,12420.0,12412.0,-282.0,348.0,483.0,266.0,265.0
RAPiD-10-1P,14550,102,12914,44,12172.0,12354.0,12370.0,12435.0,12436.0,272.0,562.0,583.0,477.0,478.0
MD99-2331,14726,117,13640,80,12250.0,12524.0,12500.0,12450.0,12468.0,840.0,1115.0,1004.0,1192.0,1191.0
RAPiD-17-5P,14789,251,13450,60,12022.0,12463.0,12670.0,12476.0,12470.0,415.0,990.0,1079.0,967.0,993.0
MD04-2845,14815,134,13890,100,12276.0,12555.0,12537.0,12475.0,12488.0,993.0,1322.0,1239.0,1414.0,1418.0
RAPiD-15-4P,14822,251,14281,44,12069.0,12512.0,12472.0,12486.0,12474.0,1246.0,1770.0,1761.0,1789.0,1819.0
MD95-2002,14838,146,13730,130,12257.0,12554.0,12547.0,12485.0,12491.0,746.0,1156.0,1095.0,1240.0,1246.0
RAPiD-17-5P,14928,251,13528,45,12160.0,12601.0,12786.0,12534.0,12486.0,436.0,932.0,940.0,985.0,1046.0
MD99-2331,14955,186,13810,80,12316.0,12666.0,12736.0,12552.0,12501.0,788.0,1156.0,1171.0,1249.0,1274.0
NA87-22,14990,354,14580,130,11949.0,12591.0,13270.0,12587.0,12481.0,1156.0,2040.0,1882.0,1976.0,2058.0
MD95-2002,15037,188,14200,110,12364.0,12694.0,12691.0,12618.0,12626.0,1079.0,1486.0,1540.0,1578.0,1592.0
MD01-2461,15071,212,14530,58,12373.0,12756.0,12854.0,12643.0,12628.0,1433.0,1788.0,1700.0,1883.0,1899.0
MD95-2002,15091,202,14420,120,12382.0,12744.0,12802.0,12658.0,12631.0,1229.0,1672.0,1720.0,1756.0,1767.0
RAPiD-10-1P,15097,202,13479,47,12384.0,12748.0,12839.0,12663.0,12631.0,402.0,736.0,725.0,813.0,828.0
MD01-2461,15182,200,11950,43,12421.0,12800.0,12735.0,12732.0,12739.0,-1183.0,-854.0,-819.0,-784.0,-775.0
RAPiD-15-4P,15253,301,14657,48,12310.0,12824.0,13145.0,12794.0,12905.0,1318.0,1843.0,1780.0,1861.0,1762.0
